Month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,93986,108234,89148,57293,66360,81797,97297,135082,146292,165149
Feb,97125,120042,53642,57014,51134,82582,91338,101789,118805,160930
Mar,103320,75424,57603,49828,52760,86306,112510,105438,168341,187765
Apr,68720,72259,54355,52459,48146,54434,100711,117398,170436,153738
May,71686,77001,61027,45552,53677,61057,103562,83488,159649,137626
Jun,66476,91836,67469,47545,49380,48797,107668,90264,167698,138730
Jul,76088,92595,51768,55226,51677,78398,132880,83211,156896,114407
Aug,87240,90395,58461,52784,37163,64645,107241,79532,166000,99161
Sep,86185,69874,46725,40533,36639,76404,81834,71592,156580,127635
Oct,82341,62380,57380,45284,62255,73725,104459,102424,133046,145420
Nov,96772,85141,62070,57356,83522,81202,112648,137356,145244,152832
Dec,102019,102435,55681,61976,79249,101970,133763,140125,159104,147892
